AoA	Cl	Cd	Cm
-180.0	0.04	0.015	-0.04
-179.0	0.1417	0.02	0.0112
-178.0	0.2433	0.025	0.0625
-177.0	0.345	0.03	0.1138
-176.0	0.4467	0.035	0.165
-175.0	0.5483	0.04	0.2162
-174.0	0.65	0.054	0.2675
-173.0	0.65	0.068	0.3188
-172.0	0.65	0.082	0.37
-171.0	0.65	0.096	0.365
-170.0	0.65	0.11	0.36
-169.0	0.6425	0.1283	0.355
-168.0	0.635	0.1467	0.35
-167.0	0.6275	0.165	0.36
-166.0	0.62	0.1833	0.37
-165.0	0.6274	0.2017	0.38
-164.0	0.6348	0.22	0.39
-163.0	0.6423	0.2522	0.3938
-162.0	0.6497	0.2844	0.3975
-161.0	0.6571	0.3167	0.4012
-160.0	0.6645	0.3489	0.405
-159.0	0.672	0.3811	0.4088
-158.0	0.6794	0.4133	0.4125
-157.0	0.6868	0.4456	0.4162
-156.0	0.6942	0.4778	0.42
-155.0	0.7017	0.51	0.4242
-154.0	0.7091	0.5328	0.4283
-153.0	0.7165	0.5556	0.4325
-152.0	0.7239	0.5784	0.4367
-151.0	0.7314	0.6012	0.4408
-150.0	0.7388	0.624	0.445
-149.0	0.7462	0.6468	0.4515
-148.0	0.7536	0.6696	0.458
-147.0	0.7611	0.6924	0.4645
-146.0	0.7685	0.7152	0.471
-145.0	0.7759	0.738	0.4775
-144.0	0.7833	0.7608	0.484
-143.0	0.7908	0.7836	0.4905
-142.0	0.7982	0.8064	0.497
-141.0	0.8056	0.8292	0.5035
-140.0	0.813	0.852	0.51
-139.0	0.8205	0.8748	0.5165
-138.0	0.8279	0.8976	0.523
-137.0	0.8353	0.9204	0.5295
-136.0	0.8427	0.9432	0.536
-135.0	0.8502	0.966	0.5425
-134.0	0.8576	0.9888	0.549
-133.0	0.865	1.0116	0.5555
-132.0	0.8535	1.0344	0.562
-131.0	0.842	1.0572	0.5685
-130.0	0.8305	1.08	0.575
-129.0	0.819	1.0943	0.5767
-128.0	0.8075	1.1087	0.5783
-127.0	0.796	1.123	0.58
-126.0	0.7845	1.1373	0.5817
-125.0	0.773	1.1517	0.5833
-124.0	0.7615	1.166	0.585
-123.0	0.75	1.1803	0.5867
-122.0	0.7385	1.1947	0.5883
-121.0	0.727	1.209	0.59
-120.0	0.7155	1.2233	0.5917
-119.0	0.704	1.2377	0.5933
-118.0	0.6925	1.252	0.595
-117.0	0.681	1.2663	0.5967
-116.0	0.6695	1.2807	0.5983
-115.0	0.658	1.295	0.6
-114.0	0.6465	1.3093	0.598
-113.0	0.635	1.3237	0.596
-112.0	0.6073	1.338	0.594
-111.0	0.5795	1.3523	0.592
-110.0	0.5518	1.3667	0.59
-109.0	0.5241	1.381	0.588
-108.0	0.4964	1.3953	0.586
-107.0	0.4686	1.4097	0.584
-106.0	0.4409	1.424	0.582
-105.0	0.4132	1.4383	0.58
-104.0	0.3855	1.4527	0.578
-103.0	0.3577	1.467	0.576
-102.0	0.33	1.4813	0.574
-101.0	0.3023	1.4957	0.572
-100.0	0.2745	1.51	0.57
-99.0	0.2468	1.515	0.568
-98.0	0.2191	1.52	0.566
-97.0	0.1914	1.525	0.564
-96.0	0.1636	1.53	0.562
-95.0	0.1359	1.535	0.56
-94.0	0.1082	1.54	0.558
-93.0	0.0805	1.545	0.556
-92.0	0.0527	1.55	0.554
-91.0	0.025	1.555	0.552
-90.0	-0.0027	1.56	0.55
-89.0	-0.0305	1.555	0.545
