C81 Table

Cl vs alpha & Mach
alpha	M0.1	M0.2	M0.3	M0.4	M0.5	M0.6	M0.7	M0.8
-180.00	  0.0400	  0.0400	  0.0400	  0.0400	  0.0400	  0.0400	  0.0400	  0.0400
-179.00	  0.1417	  0.1417	  0.1417	  0.1417	  0.1417	  0.1417	  0.1417	  0.1417
-178.00	  0.2433	  0.2433	  0.2433	  0.2433	  0.2433	  0.2433	  0.2433	  0.2433
-177.00	  0.3450	  0.3450	  0.3450	  0.3450	  0.3450	  0.3450	  0.3450	  0.3450
-176.00	  0.4467	  0.4467	  0.4467	  0.4467	  0.4467	  0.4467	  0.4467	  0.4467
-175.00	  0.5483	  0.5483	  0.5483	  0.5483	  0.5483	  0.5483	  0.5483	  0.5483
-174.00	  0.6500	  0.6500	  0.6500	  0.6500	  0.6500	  0.6500	  0.6500	  0.6500
-173.00	  0.6500	  0.6500	  0.6500	  0.6500	  0.6500	  0.6500	  0.6500	  0.6500
-172.00	  0.6500	  0.6500	  0.6500	  0.6500	  0.6500	  0.6500	  0.6500	  0.6500
-171.00	  0.6500	  0.6500	  0.6500	  0.6500	  0.6500	  0.6500	  0.6500	  0.6500
-170.00	  0.6500	  0.6500	  0.6500	  0.6500	  0.6500	  0.6500	  0.6500	  0.6500
-169.00	  0.6425	  0.6425	  0.6425	  0.6425	  0.6425	  0.6425	  0.6425	  0.6425
-168.00	  0.6350	  0.6350	  0.6350	  0.6350	  0.6350	  0.6350	  0.6350	  0.6350
-167.00	  0.6275	  0.6275	  0.6275	  0.6275	  0.6275	  0.6275	  0.6275	  0.6275
-166.00	  0.6200	  0.6200	  0.6200	  0.6200	  0.6200	  0.6200	  0.6200	  0.6200
-165.00	  0.6274	  0.6274	  0.6274	  0.6274	  0.6274	  0.6274	  0.6274	  0.6274
-164.00	  0.6348	  0.6348	  0.6348	  0.6348	  0.6348	  0.6348	  0.6348	  0.6348
-163.00	  0.6423	  0.6423	  0.6423	  0.6423	  0.6423	  0.6423	  0.6423	  0.6423
-162.00	  0.6497	  0.6497	  0.6497	  0.6497	  0.6497	  0.6497	  0.6497	  0.6497
-161.00	  0.6571	  0.6571	  0.6571	  0.6571	  0.6571	  0.6571	  0.6571	  0.6571
-160.00	  0.6645	  0.6645	  0.6645	  0.6645	  0.6645	  0.6645	  0.6645	  0.6645
-159.00	  0.6720	  0.6720	  0.6720	  0.6720	  0.6720	  0.6720	  0.6720	  0.6720
