-180	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015
-175	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
-170	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11
-164	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22
-155	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51
-130	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08
-100	1.51	1.51	1.51	1.51	1.51	1.51	1.51	1.51
-90	1.56	1.56	1.56	1.56	1.56	1.56	1.56	1.56
-80	1.51	1.51	1.51	1.51	1.51	1.51	1.51	1.51
-60	1.24	1.24	1.24	1.24	1.24	1.24	1.24	1.24
-40	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
-25	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51
-8	0.0205	0.0205	0.0205	0.067	0.136	0.1405	0.17	0.193
-6	0.0154	0.0154	0.0154	0.03	0.075	0.079	0.115	0.138
-4	0.0112	0.0112	0.0112	0.0115	0.0141	0.0182	0.06	0.083
-3	0.0103	0.0106	0.0108	0.0111	0.0123	0.0144	0.0359	0.07
-2	0.01	0.0102	0.0104	0.0105	0.0108	0.0118	0.0138	0.042
-1	0.01	0.0102	0.0103	0.0103	0.0104	0.0111	0.015	0.05
0	0.01	0.0102	0.0103	0.0104	0.0104	0.0113	0.0287	0.075
1	0.0101	0.0102	0.0103	0.0104	0.0106	0.0129	0.0474	0.098
2	0.0102	0.0103	0.0104	0.0105	0.0109	0.0186	0.066	0.121
3	0.0104	0.0105	0.0106	0.0108	0.0118	0.0285	0.083	0.1392
4	0.0106	0.0107	0.0108	0.0111	0.0133	0.0437	0.1045	0.155
5	0.0111	0.0113	0.0114	0.0117	0.0181	0.0676	0.1262	0.17
6	0.0116	0.0119	0.012	0.0125	0.0292	0.0958	0.1501	0.19
7	0.0122	0.0126	0.0126	0.0139	0.0476	0.1262	0.174	0.213
8	0.0129	0.0132	0.0136	0.0153	0.0719	0.1566	0.2	0.24
9	0.0137	0.0141	0.0145	0.02	0.098	0.1826	0.2282	0.27
10	0.0146	0.015	0.0158	0.03	0.13	0.213	0.2608	0.3
11	0.0168	0.0172	0.0183	0.05	0.1653	0.24	0.2912	0.335
12	0.019	0.0195	0.0225	0.085	0.2	0.27	0.3237	0.371
13	0.0246	0.029	0.0447	0.13	0.2326	0.305	0.3628	0.4149
14	0.0454	0.0716	0.1003	0.1788	0.265	0.34	0.4	0.4539
15	0.1139	0.1405	0.17	0.226	0.295	0.3801	0.4474	0.5
16	0.1781	0.1986	0.22	0.2651	0.325	0.4214	0.49	0.5451
17	0.2209	0.24	0.2554	0.2998	0.3563	0.4604	0.54	0.5928
18	0.2565	0.2704	0.2828	0.3324	0.39	0.5039	0.59	0.6428
19	0.2832	0.2981	0.311	0.3671	0.4257	0.5451	0.64	0.6905
30	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66
50	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07
80	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5
90	1.56	1.56	1.56	1.56	1.56	1.56	1.56	1.56
100	1.51	1.51	1.51	1.51	1.51	1.51	1.51	1.51
120	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23
140	0.89	0.89	0.89	0.89	0.89	0.89	0.89	0.89
155	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
164	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22
170	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11
175	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
180	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015
